spatial frequency [cyc/pix],diameter112mm,diameter131mm,diameter151mm,diameter185mm,diameter216mm,diameter292mm,Series
0.0,563.2609,320.5167,378.0484,189.6577,123.0942,35.6774,FBP
0.0079,896.4109,635.7478,488.6303,241.6331,150.1389,65.7546,FBP
0.0157,2125.4806,1084.0517,769.7093,408.17,274.8309,115.5455,FBP
0.0236,2200.2959,1520.1077,1005.7815,558.2228,329.6393,128.6394,FBP
0.0315,3030.4166,1621.8108,1337.0272,672.1725,392.748,185.265,FBP
0.0394,3745.4815,2233.4053,1660.2359,869.3358,495.8225,226.4165,FBP
0.0472,4112.8423,2804.6677,1872.0909,966.6336,594.3448,240.888,FBP
0.0551,4603.8865,2957.1386,2025.8737,1054.5103,782.0763,262.0966,FBP
0.063,5243.6529,3378.3037,2270.8234,1231.1585,811.1413,315.823,FBP
0.0709,5174.6899,3460.2897,2532.2808,1352.708,858.0076,393.5572,FBP
0.0787,5221.6232,3744.2508,2534.9021,1479.172,948.9085,431.9468,FBP
0.0866,5373.3075,4066.2891,2810.5456,1704.0839,1130.5142,450.6084,FBP
0.0945,5371.7079,4008.2014,2995.1139,1750.1143,1164.2989,470.4276,FBP
0.1024,5399.0366,3898.1912,2912.6337,1778.2787,1120.6129,526.6937,FBP
0.1102,5363.2791,3752.6478,3027.8046,1751.1113,1257.6608,514.5856,FBP
0.1181,5082.8367,3980.5273,2853.6547,1829.6414,1293.9017,553.1781,FBP
0.126,4733.458,3925.3377,2901.4044,1904.9407,1378.149,581.0466,FBP
0.1339,4631.2742,3702.2129,3027.3721,1891.0257,1400.946,596.905,FBP
0.1417,4256.9544,3771.8935,2864.0972,1966.5256,1395.0658,621.0358,FBP
0.1496,3714.3394,3389.569,2758.8628,2024.4781,1408.6146,668.0335,FBP
0.1575,3321.4561,3263.7349,2834.2049,1991.4077,1432.5601,701.0352,FBP
0.1654,2955.0667,3115.9514,2718.4062,1947.5874,1415.5699,714.1803,FBP
0.1732,2756.7969,2810.2288,2566.4604,1912.9427,1454.5066,740.9569,FBP
0.1811,2452.3723,2553.3287,2423.2217,1938.7915,1432.2285,746.5815,FBP
0.189,2047.1864,2417.164,2282.9692,1964.8817,1474.8853,708.3489,FBP
0.1969,1735.3207,2137.4217,2171.8078,1769.8516,1429.4573,770.1257,FBP
0.2047,1499.3233,1970.5255,2093.8948,1812.7459,1405.3676,751.3617,FBP
0.2126,1216.9648,1746.1801,1906.0462,1697.4262,1387.2332,779.2609,FBP
0.2205,1040.5519,1532.5198,1728.7274,1650.2193,1366.7696,779.7575,FBP
0.2283,891.5203,1319.6082,1632.4238,1609.7129,1351.1293,808.9986,FBP
0.2362,731.955,1177.9261,1427.8235,1471.3077,1255.4948,797.5579,FBP
0.2441,638.8335,989.8664,1301.1918,1436.0153,1280.6646,769.7746,FBP
0.252,495.2335,828.9171,1167.7675,1360.4669,1236.8492,805.255,FBP
0.2598,426.2321,722.1687,1019.576,1239.6848,1166.2568,817.4217,FBP
0.2677,329.975,632.9452,908.4733,1201.4346,1113.5505,778.0388,FBP
0.2756,266.4262,560.4385,809.7933,1100.621,1076.2693,801.418,FBP
0.2835,205.8757,479.9295,733.3622,1014.4409,1072.9147,786.1988,FBP
0.2913,158.4754,391.051,611.9782,979.1971,990.0702,774.9952,FBP
0.2992,121.1526,329.1802,556.8301,881.1607,927.6747,793.0626,FBP
0.3071,88.9076,286.5707,480.3175,804.6384,898.2763,749.9961,FBP
0.315,68.3516,239.5241,435.7122,727.8663,861.2214,713.8534,FBP
0.3228,50.5519,188.3253,372.8324,686.783,822.069,716.2081,FBP
0.3307,36.9709,158.2996,323.3667,588.1951,736.5849,708.5035,FBP
0.3386,28.0269,127.3187,282.5747,535.5358,681.0246,728.2361,FBP
0.3465,21.0554,99.0366,244.3603,484.9893,626.827,693.2817,FBP
0.3543,16.8258,79.3777,207.5611,438.7506,614.2053,691.3506,FBP
0.3622,13.7848,61.1309,175.9971,392.4992,598.9219,656.9379,FBP
0.3701,12.2271,49.1196,154.5109,358.9479,523.3511,670.611,FBP
0.378,10.6996,37.6452,124.6954,318.7865,477.4431,649.5428,FBP
0.3858,10.0481,30.11,106.3224,299.6024,442.6405,628.729,FBP
0.3937,9.7973,22.4561,88.1489,260.9241,400.1147,607.0539,FBP
0.4016,9.3933,17.8136,71.1916,232.3389,368.9705,595.9616,FBP
0.4094,9.0972,14.5548,58.7336,215.1368,336.2913,575.5357,FBP
0.4173,8.5344,12.0421,46.3629,181.579,313.8092,564.3558,FBP
0.4252,8.5512,10.2781,38.5733,164.9094,280.1272,539.2497,FBP
0.4331,8.2783,9.0959,30.4103,142.2688,264.0325,536.2715,FBP
0.4409,7.9184,8.1556,24.4226,128.3731,239.0983,509.7509,FBP
0.4488,7.6298,7.5127,19.9591,114.2954,230.8479,518.5891,FBP
0.4567,7.3486,6.8137,16.4784,100.9306,215.3667,499.8746,FBP
0.4646,7.0764,6.6396,13.6739,86.4814,204.2209,473.3999,FBP
0.4724,6.792,6.375,11.7065,78.9925,186.3941,469.814,FBP
0.4803,6.683,6.1855,9.9179,66.9857,173.9543,459.9061,FBP
0.4882,6.4339,5.9731,8.7759,59.9192,165.7798,439.2588,FBP
0.4961,6.4302,5.9631,8.1429,54.082,161.0389,437.0927,FBP
0.5039,5.6991,5.2721,7.4265,42.4805,142.3062,410.0062,FBP
0.5118,5.1026,4.8664,7.0947,35.1304,124.141,378.0552,FBP
0.5197,4.9563,4.4791,6.5974,29.507,107.3637,365.2107,FBP
0.5276,4.9923,4.5722,6.3853,23.2239,94.771,346.4979,FBP
0.5354,5.0837,4.4361,6.2413,19.1375,83.7209,314.8174,FBP
0.5433,5.5137,4.4605,6.1632,15.2205,72.5104,309.8797,FBP
0.5512,5.8635,4.4666,6.1464,12.128,64.4987,282.9858,FBP
0.5591,6.4944,4.7001,5.8222,9.9053,55.1376,274.6224,FBP
0.5669,6.8604,5.0665,5.9309,7.8859,49.6728,262.8077,FBP
0.5748,7.7065,5.3972,5.7044,6.0792,40.8967,248.0999,FBP
0.5827,8.1794,5.7435,5.7372,4.7637,36.3766,239.822,FBP
0.5906,8.3366,6.4388,5.5339,3.8737,31.0591,225.8153,FBP
0.5984,8.9084,7.1537,5.2584,2.8729,26.5128,223.6545,FBP
0.6063,9.1983,7.8266,4.9287,2.3524,22.417,209.364,FBP
0.6142,9.7183,7.7926,4.9026,1.999,18.4943,211.4484,FBP
0.622,9.4956,8.3598,4.8237,1.6833,16.4743,201.6004,FBP
0.6299,9.7312,9.6624,4.5701,1.3858,14.5273,199.1072,FBP
0.6378,9.8319,9.2403,4.1296,1.2247,12.3419,187.0096,FBP
0.6457,10.1059,9.8379,3.7496,1.0305,9.8847,180.0633,FBP
0.6535,9.8021,10.5231,3.5041,0.9634,9.3858,180.0708,FBP
0.6614,9.3587,10.8694,3.1411,0.9007,7.7249,176.8635,FBP
0.6693,9.4583,11.0166,3.0138,0.7375,6.304,165.1796,FBP
0.6772,8.899,10.9926,3.1047,0.6539,6.2368,176.875,FBP
0.685,9.5269,10.1587,2.7073,0.6349,4.9805,165.1708,FBP
0.6929,10.8049,13.8655,2.4384,0.668,4.1814,156.7916,FBP
0.7008,9.395,17.7665,2.7891,0.7724,5.6323,143.4786,FBP
0.0,0.0,0.0,0.0,0.0,0.0,0.0,REDCNN-TV
0.0079,-198.3909,-100.0938,-73.3394,-39.839,-27.0448,-10.5414,REDCNN-TV
0.0157,2170.7186,1089.5098,775.9774,421.2605,288.4456,114.8509,REDCNN-TV
0.0236,2517.1168,1741.5644,1152.0612,639.1116,377.8217,147.4103,REDCNN-TV
0.0315,3420.1592,1826.5385,1512.1238,750.5546,432.6741,197.8621,REDCNN-TV
0.0394,4202.8381,2504.1423,1857.7835,964.631,538.3006,226.9071,REDCNN-TV
0.0472,4576.6828,3119.7766,2081.2573,1049.6778,635.0251,227.2422,REDCNN-TV
0.0551,5082.1083,3248.6943,2236.9319,1138.6187,814.7611,226.0028,REDCNN-TV
0.063,5736.8964,3698.1226,2469.2969,1315.9621,814.2152,244.7158,REDCNN-TV
0.0709,5620.4954,3760.9959,2727.2476,1410.3459,846.1293,270.1403,REDCNN-TV
0.0787,5626.7834,4034.0872,2732.6995,1518.6106,915.0182,264.3337,REDCNN-TV
0.0866,5771.9094,4384.6496,3008.9351,1758.7983,1068.8692,252.8569,REDCNN-TV
0.0945,5775.3912,4309.8522,3188.1021,1791.2042,1088.5831,245.3773,REDCNN-TV
0.1024,5808.3743,4181.5559,3110.855,1818.0251,1045.1768,251.6006,REDCNN-TV
0.1102,5728.7363,4008.6758,3233.169,1784.6035,1156.655,228.6122,REDCNN-TV
0.1181,5384.2959,4234.7706,3031.5573,1851.3546,1172.7805,231.272,REDCNN-TV
0.126,4956.3177,4125.7565,3045.7366,1890.4798,1221.7636,233.8476,REDCNN-TV
0.1339,4800.8866,3847.9664,3131.9524,1857.883,1210.4275,227.281,REDCNN-TV
0.1417,4316.8519,3849.6779,2906.2231,1892.0349,1173.2201,229.0749,REDCNN-TV
0.1496,3717.5401,3395.8051,2751.6201,1913.8803,1165.2475,231.1951,REDCNN-TV
0.1575,3238.8157,3211.5228,2773.044,1837.5055,1142.3414,232.5818,REDCNN-TV
0.1654,2818.7181,3003.1987,2593.845,1754.2999,1090.5319,223.9633,REDCNN-TV
0.1732,2565.6565,2635.5177,2404.9751,1674.7302,1085.6459,221.4517,REDCNN-TV
0.1811,2231.514,2359.6197,2225.5709,1669.0683,1030.9693,209.7254,REDCNN-TV
0.189,1830.2096,2186.9151,2052.804,1643.1481,1029.5169,191.9667,REDCNN-TV
0.1969,1518.198,1889.6341,1909.9115,1448.3747,971.2662,199.0361,REDCNN-TV
0.2047,1284.5121,1707.4814,1805.2402,1456.9713,930.6763,187.3539,REDCNN-TV
0.2126,1019.2003,1481.9706,1599.2958,1334.355,890.0942,186.1887,REDCNN-TV
0.2205,856.2009,1269.6001,1436.5971,1269.1902,853.3866,176.8922,REDCNN-TV
0.2283,711.9374,1074.7871,1326.2151,1209.6533,813.283,179.0902,REDCNN-TV
0.2362,572.5792,931.0519,1130.9331,1079.2504,740.4225,168.8994,REDCNN-TV
0.2441,488.3776,767.1432,1010.6384,1027.6119,729.8428,156.0397,REDCNN-TV
