Patient Diameter [mm],mean CT number [HU],mean noise (ROI std) [HU],Series
112,-0.030145000000061373,24.364344999999993,FBP
131,-0.08217999999999392,24.38861,FBP
151,0.18159499999978834,23.827260000000003,FBP
185,0.06420999999977539,24.317355,FBP
216,-0.05779999999992924,24.032619999999998,FBP
292,0.05759000000000469,24.066315,FBP
112,-2.2907399999998006,24.206245000000003,REDCNN-TV
131,-1.6815050000001293,23.700985,REDCNN-TV
151,0.925679999999943,22.39267,REDCNN-TV
185,5.377965000000017,20.93644,REDCNN-TV
216,13.119505000000231,17.38567,REDCNN-TV
292,44.005445000000236,9.59912,REDCNN-TV
